dem_elevation,TWI,TPI,TRI,SPI,easterness,northerness,slope_std,distance_coast,distance_streams,average_temp_ref,cloudburst_ref,groundwater_ref,rain_average_ref,rain_max_day_ref,soil,geomorphology,underground,prequaternary,class
15.706317901611328,4.440496921539307,0.1268739700317382,0.1736881732940673,-1.6679081916809082,0.1965700536966323,-0.9804897904396056,4.752529144287109,115.0,300.0,8.46273136138916,0.3323630094528198,-8.441628456115723,2.0065407752990723,33.68160629272461,15.0,7.0,3.0,6.0,1
15.232349395751951,3.427183151245117,0.0481777191162109,0.3952490091323852,0.7316999435424805,0.5753794312477112,-0.8178865909576416,3.343205690383911,52.0,300.0,8.46273136138916,0.3323630094528198,-1.9497528076171875,2.0065407752990723,33.68160629272461,15.0,7.0,3.0,6.0,1
17.030214309692383,3.888671159744263,-0.0009307861328125,0.3613960742950439,1.0811421871185305,0.6347046494483948,-0.7727547883987427,0.8803308606147766,80.0,300.0,8.46273136138916,0.3323630094528198,-1.60826575756073,2.0065407752990723,33.68160629272461,15.0,7.0,3.0,6.0,1
15.583940505981444,4.67513370513916,-0.0302324295043945,0.1835430860519409,0.2946794033050537,-0.7888249754905701,-0.6146178841590881,3.45951509475708,120.0,300.0,8.45542049407959,0.329926997423172,-7.234320640563965,2.017730712890625,33.66832733154297,15.0,7.0,3.0,6.0,1
17.499942779541016,8.491713523864746,0.1507892608642578,0.410609483718872,5.817517757415772,0.2681154906749725,-0.9633867740631104,2.3922197818756104,89.0,300.0,8.463236808776855,0.3285511434078216,-0.4856798946857452,2.021318197250366,33.706504821777344,15.0,7.0,3.0,6.0,1
19.862329483032227,4.3377838134765625,0.1045417785644531,0.1282868385314941,-1.5651953220367432,-0.7610894441604614,-0.6486469507217407,2.1722846031188965,80.0,300.0,8.463236808776855,0.3285511434078216,-1.161275863647461,2.021318197250366,33.706504821777344,15.0,7.0,3.0,6.0,1
10.933327674865724,4.549925804138184,-0.0080327987670898,0.2000595331192016,0.4198874533176422,-0.3488979041576385,-0.9371607303619384,0.6755983233451843,84.0,300.0,8.463236808776855,0.3285511434078216,-4.2887115478515625,2.021318197250366,33.706504821777344,15.0,7.0,3.0,6.0,1
7.80634069442749,5.568682670593262,-0.0091662406921386,0.1608089208602905,1.095726490020752,-0.979585587978363,-0.2010276466608047,1.1055337190628052,122.0,300.0,8.463236808776855,0.3285511434078216,-2.362080812454224,2.021318197250366,33.706504821777344,15.0,7.0,3.0,6.0,1
19.221132278442383,2.1948392391204834,0.0250396728515625,0.6747088432312012,0.5777496099472046,-0.999973714351654,0.0072483499534428,0.8245192170143127,163.0,300.0,8.446768760681152,0.3288723528385162,-1.2943158149719238,2.0311503410339355,33.66157150268555,15.0,6.0,2.0,7.0,1
10.906588554382324,4.247091293334961,-0.0774793624877929,0.1846966743469238,-0.0882080420851707,-0.1944272816181183,-0.9809169173240662,2.404901027679444,51.0,273.0,8.438117980957031,0.3260089755058288,-1.4208389520645142,2.0446012020111084,33.6575813293457,15.0,8.0,2.0,6.0,1
17.533592224121094,3.90845251083374,0.1225223541259765,0.3922336101531982,1.0613608360290527,-0.4129063189029693,-0.910773515701294,7.714494705200195,94.0,300.0,8.429693222045898,0.3270027935504913,-6.182281017303467,2.057484865188598,33.65532302856445,15.0,9.0,2.0,6.0,1
4.285706520080566,10.426106452941896,-0.1249237060546875,0.1625144481658935,5.4111504554748535,-0.899033784866333,-0.4378793239593506,3.7214765548706055,29.0,300.0,8.429693222045898,0.3270027935504913,0.0,2.057484865188598,33.65532302856445,15.0,9.0,2.0,6.0,1
4.260322093963623,3.3603012561798096,0.1293158531188964,0.4494848251342773,0.7985818982124329,0.7335860133171082,-0.6795966029167175,3.685533285140991,16.0,300.0,8.429693222045898,0.3270027935504913,-4.317175388336182,2.057484865188598,33.65532302856445,15.0,9.0,2.0,6.0,1
24.36875343322754,3.4131617546081543,0.0020618438720703,0.2142844200134277,-0.6405730247497559,-0.9994617700576782,0.0328048132359981,2.8811488151550293,272.0,300.0,8.421327590942383,0.3274950981140136,-2.493234395980835,2.054255723953247,33.61253356933594,15.0,9.0,2.0,7.0,1
8.878429412841797,3.732736587524414,0.0212259292602539,0.1539759635925293,-0.9601479172706604,0.1967257410287857,-0.9804585576057434,0.8661190867424011,86.0,300.0,8.421067237854004,0.3280975222587585,-5.302260398864746,2.0704073905944824,33.65409469604492,15.0,9.0,2.0,7.0,1
46.43376922607422,3.439416646957397,0.0296401977539062,0.3718008995056152,0.7194664478302002,-0.7177385687828064,-0.696312665939331,2.7031280994415283,300.0,300.0,8.43077564239502,0.3319055438041687,-5.549325466156006,2.023501396179199,33.57731628417969,15.0,8.0,2.0,8.0,1
43.35145568847656,11.461187362670898,-0.5004196166992188,0.5681767463684082,7.853474617004394,0.9672709107398988,0.253745824098587,2.784353733062744,300.0,300.0,8.43077564239502,0.3319055438041687,-3.331979513168335,2.023501396179199,33.57731628417969,15.0,7.0,2.0,8.0,1
25.5556755065918,5.001021862030029,0.0712699890136718,0.2999601364135742,1.6633872985839844,-0.8375421166419983,-0.5463727116584778,1.5436651706695557,300.0,300.0,8.4473876953125,0.3314099311828613,-0.8696358799934387,2.01375675201416,33.62736892700195,15.0,8.0,2.0,6.0,1
8.274812698364258,7.652966499328613,-0.411386489868164,0.5443005561828613,4.53868293762207,0.5938388705253601,-0.8045839667320251,4.645071506500244,36.0,300.0,8.46273136138916,0.3323630094528198,-8.872346878051758,2.0065407752990723,33.68160629272461,13.0,7.0,3.0,6.0,1
